Song_Name,Artist,YouTube_URL,Mood
Tum Hi Ho,Arijit Singh,https://open.spotify.com/track/7H3mfOvtPNA8YDF3EdKy0L?si=01de9c336cbc4712,passionate
Channa Mereya,Arijit Singh,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM?si=1cfc0cff94c8479f,sad
Nashe Si Chadh Gayi,Arijit Singh,https://open.spotify.com/track/0biCSADTAblvLTLtJz4pXO?si=a020debf8cfd42dcenergetic
Lungi Dance,Yo Yo Honey Singh,https://open.spotify.com/track/3VXh3jYTW3lTxtXRnu2TKP?si=6280c243ead54617,energetic
Swag Se Swagat,Vishal Dadlani,https://open.spotify.com/track/2AjGLmuZK1fu21n1IpB9RU?si=55d4efc47cc3444e,energetic
Aankh Marey,Neha Kakkar,https://open.spotify.com/track/63MvWd6T6yoS7h4AJ4Hjrm?si=4e79740a663841c9,energetic
Dilbar,Neha Kakkar,https://open.spotify.com/track/4tjLYTXFqZhkUDga4bQ0yl?si=c3b382863d4f465f,passionate
Tareefan,Badshah,https://open.spotify.com/track/2SN54RFfaafTk7TE1n1Na4?si=b8b50c932f864c2b,passionate
Ghungroo,Arijit Singh,https://open.spotify.com/track/72LXxbG5IqJz6IytOJ5JgP?si=2df4fafa59a74f23,energetic
Bekhayali,Sachet Tandon,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3?si=ddbd647444d34b58,sad
Shayad,Arijit Singh,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL?si=1c91eb0704924bda,dreamy
Mere Rashke Qamar,Nusrat Fateh Ali Khan,https://open.spotify.com/track/50sbcAcWHgDPRDkYBEUpkA?si=ea8a55b5c18a468a,passionate
Dil Diyan Gallan,Atif Aslam,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta?si=9f9aa84f217a4367,passionate
Tujhe Kitna Chahne Lage,Arijit Singh,https://open.spotify.com/track/4r8JqkhpTb5tzSKKHnVJIJ?si=8a314903df4e43e4,passionate
Hawayein,Arijit Singh,https://open.spotify.com/track/6871FKHumiy1Wfr6vF7Xxt?si=27ce1f3a59f74664,dreamy
Raatan Lambiyan,Jubin Nautiyal,https://open.spotify.com/track/2rOnSn2piaqLAlYjtfUBlY?si=f22d59abbe354530,passionate
Kabhi Jo Baadal Barse,Arijit Singh,https://open.spotify.com/track/3MVPReTwLNOBFb6KjiIRNM?si=bcbe1b7f00c74b0e,sad
Zaalima,Arijit Singh,https://open.spotify.com/track/1J9vyEntJ79CppvgUxJs75?si=3154dbcf1c5a4dbc,angry
Gerua,Arijit Singh,https://open.spotify.com/track/7iLA6PQeQWRjLDHOJgGpj5?si=244451c1e54e4b64,dreamy
Tum Mile,Neha Kakkar,https://open.spotify.com/track/1EjxJHY9A6LMOlvyZdwDly?si=5add3586346c4592,happy
Kala Chashma,Badshah,https://open.spotify.com/track/6mdLX10dvBb7rGYbMXpKzz?si=e52d726c3fae403c,energetic
Dil Chori,Yo Yo Honey Singh,https://open.spotify.com/track/6zojSFiUNySBy3Kd1JVCXb?si=ec24510d775a4d57,energetic
Tamma Tamma Again,Bappi Lahiri,https://www.youtube.com/watch?v=n8rb9dhGhSk,angry
Bom Diggy Diggy,Zack Knight,https://open.spotify.com/track/13gsYZUwUqzo8lmwqfnG2c?si=e0a121dedb274032,energetic
Saibo,Shreya Ghoshal,https://open.spotify.com/track/6udC4b4jOSnHb9ItnXgKLR?si=e2d3298dccd043ba,dreamy
Raabta,Arijit Singh,https://open.spotify.com/track/6FjbAnaPRPwiP3sciEYctO?si=3b385736367841cb,passionate
Kalank,Arijit Singh,https://open.spotify.com/track/7G5wpuR61ABrT7R1snos7C?si=0767e08f1c834c43,dreamy
Genda Phool,Badshah,https://open.spotify.com/track/15Vuw407y6UWIPUfGrpJ1e?si=52a71b21859946bd,energetic
O Saki Saki,Neha Kakkar,https://open.spotify.com/track/4cFwhwH5ydnHgB0Tv3lZsm?si=acfb6419f7b14030,angry
Agar Tum Mil Jao,Shreya Ghoshal,https://open.spotify.com/track/14k5ZaCWRYwXdz2FWCaQby?si=619b37b799254ecd,dreamy

